区域编号,周末_x,工作日_x,日均需求,日总需求_工作日,日总需求_周末,区域总面积,充电覆盖面积,充电桩数量,快充数量,慢充数量,人口密度,车流量,商业POI数,电网容量,周末_y,工作日_y
1,14580,19206,16893.0,19206,14580,17.36,14.02,215,129,86,3861,28505,1258,32.5,1167,874
2,13348,17767,15557.5,17767,13348,14.25,11.1,198,119,79,3522,26811,1182,29.8,1128,929
3,11183,13486,12334.5,13486,11183,17.62,14.5,165,99,66,3280,24599,954,27.6,1049,788
4,15711,19888,17799.5,19888,15711,110.07,55.03,182,109,73,2652,32021,821,35.2,1493,1301
5,19105,13465,16285.0,13465,19105,80.1,32.44,126,76,50,1893,19513,653,22.5,1899,756
6,13350,18376,15863.0,18376,13350,60.08,41.89,158,95,63,1564,28024,780,30.8,1195,930
7,7864,7038,7451.0,7038,7864,139.87,35.02,75,45,30,855,12598,229,18.6,716,557
8,5775,9524,7649.5,9524,5775,120.04,42.0,98,59,39,923,16823,388,25.5,798,985
9,23241,11642,17441.5,11642,23241,131.2,26.17,65,39,26,625,10547,192,15.2,2079,781
10,9065,9529,9297.0,9529,9065,22.3,14.5,88,53,35,786,13216,321,20.5,946,653
